feedback_id,customer_id,text,date,product,department,channel,location,segment,rating,status
FB-10000,CU-4582,"Loved the new InsightAnalytics dashboard, it is clean and fast. The issue started last Thursday. Logged by the duty manager.",2026-05-01T13:02:00+00:00,InsightPay,Customer Support,Call Center,Kolkata,Partner,5,open
FB-10001,CU-2519,Call center agents read from a script and did not understand the issue. The team mentioned InsightAnalytics in the weekly review. Thanks.,2026-02-10T04:13:00+00:00,InsightSecure,Customer Support,Chat,Surat,Startup,2,resolved
FB-10002,CU-2139,InsightSecure audit logs are exactly what compliance needed. The team mentioned InsightCloud in the weekly review. Sharing this from the field.,2026-07-15T11:36:00+00:00,InsightCRM,Finance,Website,London,SMB,5,resolved
FB-10003,CU-2169,Quick update: Is there a sandbox for InsightPay chargebacks? Please treat this as high priority. Logged by the duty manager.,2026-03-01T06:42:00+00:00,InsightAnalytics,Finance,Email,Kolkata,Internal,3,open
FB-10004,CU-9179,Payment reconciliation finally works without manual edits. I attached screenshots in the original ticket. Please advise.,2026-01-24T18:56:00+00:00,InsightSecure,Customer Support,Chat,London,Consumer,5,open
FB-10005,CU-2796,Quick update: Call center agents read from a script and did not understand the issue. I am following up because there was no response. Please advise.,2026-04-06T02:48:00+00:00,InsightPay,HR,Email,London,SMB,2,resolved
FB-10006,CU-6573,"Hi, Customer support resolved our incident in twenty minutes. I am following up because there was no response. Sharing this from the field.",2025-12-30T21:56:00+00:00,InsightAnalytics,Customer Support,Mobile App,Bangalore,Consumer,4,open
FB-10007,CU-6310,"For the record, The courier missed the delivery window three times in Kolkata. Please treat this as high priority. Sharing this from the field.",2026-03-06T05:34:00+00:00,InsightPay,Operations,Internal,Ahmedabad,Enterprise,1,closed
FB-10008,CU-8787,Is there a sandbox for InsightPay chargebacks? This happened after the latest update.,2026-08-08T17:49:00+00:00,InsightMobile,Operations,Email,Bangalore,Partner,3,resolved
FB-10009,CU-1344,"For the record, The onboarding specialist made InsightCRM easy to adopt. Our enterprise account is affected. Please advise.",2025-12-31T07:14:00+00:00,InsightCloud,Product,Call Center,Jaipur,SMB,5,open
FB-10010,CU-8749,"To be clear, Loved the new InsightCRM dashboard, it is clean and fast. This happened after the latest update. Thanks.",2026-01-24T17:08:00+00:00,InsightPortal,Operations,Chat,Delhi,Enterprise,5,open
FB-10011,CU-7912,Quick update: Documentation update saved our engineering team hours. This happened after the latest update. Logged by the duty manager.,2026-01-19T06:34:00+00:00,InsightPortal,Operations,Email,Bangalore,Consumer,5,open
FB-10012,CU-7209,"Hello team, Feature request: webhook retries with exponential backoff. A workaround exists but it is not acceptable long term. Thanks.",2026-01-24T12:57:00+00:00,InsightPay,Operations,Website,Pune,Startup,3,closed
FB-10013,CU-1821,"Hello team, Sharing an FYI that finance will review invoices tomorrow. A workaround exists but it is not acceptable long term. Please advise.",2026-06-07T17:03:00+00:00,InsightSecure,Customer Support,Internal,Kolkata,Partner,3,open
FB-10014,CU-9565,"Hello team, Please confirm whether SSO is enabled for partner accounts. I am following up because there was no response. Looking forward to a fix.",2026-04-28T19:02:00+00:00,InsightCloud,Engineering,Survey,Bangalore,SMB,4,resolved
