text,sentiment,emotion,category,intent
Delivery arrived earlier than promised and the package was intact.,positive,satisfaction,Delivery,Praise
Courier service was excellent and I received my order on time.,positive,satisfaction,Delivery,Praise
Courier service was excellent and I received my order on time. This was reported for InsightSecure.,positive,satisfaction,Delivery,Praise
Shipping was fast and the tracking updates were accurate.,positive,satisfaction,Delivery,Praise
Shipping was fast and the tracking updates were accurate. This was reported for InsightCloud.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Ahmedabad.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Surat.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Mumbai.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in London.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Ahmedabad.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Surat.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Mumbai.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in London.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Ahmedabad.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Surat.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Mumbai.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in London.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Ahmedabad.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Surat.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Mumbai.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in London.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Ahmedabad.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Surat.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Mumbai.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in London.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Ahmedabad.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Surat.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Mumbai.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in London.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Ahmedabad.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Surat.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Mumbai.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in London.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Ahmedabad.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Surat.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in Mumbai.,positive,satisfaction,Delivery,Praise
Loved how quickly the parcel reached my office in London.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightPay was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightPay was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightPay was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightPay was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightCloud was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightCloud was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightCloud was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightCloud was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightMobile was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightMobile was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightMobile was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightMobile was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightCRM was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightCRM was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightCRM was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightCRM was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightAnalytics was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightAnalytics was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightAnalytics was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightAnalytics was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightSecure was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightSecure was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightSecure was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightSecure was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightChat was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightChat was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightChat was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightChat was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightPortal was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightPortal was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
The delivery experience for InsightPortal was smooth from checkout to doorstep.,positive,satisfaction,Delivery,Praise
