feedback_id,customer_id,date,text,product,department,channel,location,segment,rating,status,sentiment,emotion,category,intent,priority,severity
FB-6A5C3A3B,CU-LIVE,2026-09-06T07:15:29.270708,"I love the new InsightPay dashboard, it is clean and fast.",InsightPay,Product,Website,Mumbai,Enterprise,5,open,positive,joy,UX/UI,Praise,low,2
FB-10008,CU-8787,2026-08-08T17:49:00,Is there a sandbox for InsightPay chargebacks? This happened after the latest update.,InsightMobile,Operations,Email,Bangalore,Partner,3,resolved,negative,disappointment,Technical Issue,Complaint,critical,5
FB-11463,CU-6131,2026-08-08T12:53:00,"Hello team, Consider adding a weekly digest for managers. A workaround exists but it is not acceptable long term. Looking forward to a fix.",InsightAnalytics,Sales,Call Center,Mumbai,Enterprise,3,resolved,neutral,neutral,UX/UI,Suggestion,low,1
FB-10402,CU-1673,2026-08-08T12:42:00,"Hi, Response time from customer support is getting worse every week. I am following up because there was no response. Sharing this from the field.",InsightSecure,Customer Support,Email,Bangalore,SMB,2,in_progress,neutral,frustration,Customer Support,Request,medium,2
FB-10119,CU-7214,2026-08-08T09:29:00,"Hello team, How do I export department analytics for last quarter? We have seen this twice already. Logged by the duty manager.",InsightChat,Sales,Call Center,Delhi,Consumer,3,open,neutral,anger,Technical Issue,Bug Report,medium,1
FB-11146,CU-8773,2026-08-08T05:27:00,"Hello team, Support never called back after I reported a critical outage. Please treat this as high priority. Thanks.",InsightPay,Customer Support,Email,Singapore,Partner,2,open,negative,frustration,Customer Support,Bug Report,critical,4
FB-12116,CU-4915,2026-08-08T01:36:00,Quick update: Refund for a failed InsightSecure payment is still pending. This is impacting customers in Surat. Looking forward to a fix.,InsightCRM,Engineering,Chat,Bangalore,Consumer,2,resolved,negative,anger,Payment,Complaint,critical,5
FB-10850,CU-6046,2026-08-08T00:21:00,Quick update: We are happy with the reliability of InsightCloud this quarter. I attached screenshots in the original ticket. Looking forward to a fix.,InsightSecure,Customer Support,Call Center,Chennai,Consumer,4,closed,positive,joy,Product,Praise,low,1
FB-12104,CU-8498,2026-08-07T23:59:00,"To be clear, Security alert fired after suspicious admin logins. We have seen this twice already. Thanks.",InsightChat,Engineering,Internal,Chennai,SMB,2,resolved,negative,anger,Security,Bug Report,critical,5
FB-11320,CU-3142,2026-08-07T18:16:00,"Hello team, We may add twenty more seats if the trial goes well. This is impacting customers in Bangalore. Thanks.",InsightChat,Customer Support,Mobile App,Mumbai,Internal,4,in_progress,neutral,anger,Product,Suggestion,low,1
FB-10505,CU-9444,2026-08-07T15:11:00,"For the record, Where can I find the data retention policy? We have seen this twice already. Thanks.",InsightPay,Customer Support,Survey,Jaipur,Consumer,3,closed,neutral,confusion,Other,Question,low,1
FB-10316,CU-8672,2026-08-07T14:36:00,"Hello team, We are happy with the reliability of InsightPortal this quarter. I attached screenshots in the original ticket. Logged by the duty manager.",InsightMobile,Customer Support,Mobile App,Chennai,Startup,5,resolved,positive,joy,Product,Praise,low,1
FB-11620,CU-6530,2026-08-07T12:23:00,Quick update: Billing error created an unauthorized charge on our card. I attached screenshots in the original ticket. Sharing this from the field.,InsightPortal,Customer Support,Chat,Singapore,Internal,2,resolved,negative,anger,Customer Support,Complaint,critical,5
FB-11083,CU-9128,2026-08-07T05:42:00,"Hello team, InsightSecure audit logs are exactly what compliance needed. The team mentioned InsightPay in the weekly review.",InsightPay,Customer Support,Mobile App,Mumbai,Internal,5,resolved,positive,joy,Product,Praise,low,1
FB-10361,CU-5842,2026-08-06T23:34:00,"Hello team, Average experience so far, we are still evaluating InsightAnalytics. This happened after the latest update. Looking forward to a fix.",InsightSecure,Finance,Internal,Bangalore,Partner,3,resolved,negative,disappointment,Product,Complaint,critical,3
